Sample Number ,Sample Type ,Extraction Kit ,Bead Type ,Homogeniser 
43 ,ZymoBIOMICS Community Standard 1:100 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
44 ,ZymoBIOMICS Community Standard 1:100 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
45 ,ZymoBIOMICS Community Standard 1:1000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
46 ,ZymoBIOMICS Community Standard 1:1000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
47 ,ZymoBIOMICS Community Standard 1:1000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
48 ,ZymoBIOMICS Community Standard 1:1000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
49 ,ZymoBIOMICS Community Standard 1:10000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
50 ,ZymoBIOMICS Community Standard 1:10000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
51 ,ZymoBIOMICS Community Standard 1:10000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
52 ,ZymoBIOMICS Community Standard 1:10000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
53 ,ZymoBIOMICS Community Standard 1:100000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
54 ,ZymoBIOMICS Community Standard 1:100000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
55 ,ZymoBIOMICS Community Standard 1:100000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
56 ,ZymoBIOMICS Community Standard 1:100000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
57 ,ZymoBIOMICS Community Standard 1:1000000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
58 ,ZymoBIOMICS Community Standard 1:1000000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
59 ,ZymoBIOMICS Community Standard 1:1000000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
60 ,ZymoBIOMICS Community Standard 1:1000000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
61 ,PBS ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
62 ,PBS ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
63 ,PBS ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
64 ,PBS ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
